Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Tag,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Tag,Sent Comment,Fee Amount,Fee Currency,Realized Return (USD),Ignored
05/30/2022 23:15:41,Trade,0xe4cd2e34a1cbedd88ac74ce7f344191a8310176e8067599e2c1d3f865e73a66c,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00886178,ETH,...,
05/30/2022 23:17:10,Trade,0xb4015e302268a8b801709554255ee5fb81b67a923f56be3e36f34d6baf532f52,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01237959,ETH,...,
05/30/2022 23:24:35,Trade,0x67cb6bf77e5859e32d15d7fc210798b1c562035a1973e8bd1d5cfd1b3201e603,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00916627,ETH,...,
06/08/2022 02:31:13,Receive,0xdf760532cf2bd65383d14f0bb2f66cd20c8b613ce26bb7ef25d742821ce66348,2398.79081411,BAL,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,0.03564013,ETH,...,
06/08/2022 16:29:44,Trade,0xc9b5893f7545b5296d9de4ff9aa213af304dc7e73f2a821b7ca5cb096c967776,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01499187,ETH,...,
06/08/2022 16:38:45,Send,0xb455706537079187c289ff225d8cbca80503f97b03a646f1f4a8a6f29e1b07fc,,,...,,,,,1027.76929067,B-80BAL-20WETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.02078438,ETH,...,
06/08/2022 19:54:24,Send,01f5b55581fe8b3d55c6204de2f964ce476c86b20a3cc935f1ead25db121ec96,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01874528,ETH,...,
06/08/2022 20:00:27,Send,201a404f7305e7dfacadb25e4bccaebc187fb3c5fa25f5f32129fbc79f1029e9,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01267120,ETH,...,
06/08/2022 20:04:08,Trade,0x9e6410cf4efb983b2f540318bab206520819363fbfeabbf267dbab0e4b346c53,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.01920046,ETH,...,
06/08/2022 20:05:35,Trade,0x1e1379d75d90267e90f254727efcd7f2e32fa16e4b5719a42760cd379b00daac,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00907039,ETH,...,
